[INFO] terminal64.exe = C:\Users\Leon\Desktop\Terminals\MetaTrader 5 - Kopie - Kopie - Kopie (8) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_540136824_LIVE
[OK] Connected: 540136824 | FTMO Challenge USD | FTMO-Server4 | LIVE
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_540136824_LIVE | account_type=LIVE | server=FTMO-Server4
[INFO] Polling every 60s. Stop with CTRL+C.
[LOOP] 2026-03-23T18:13:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:14:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:15:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:16:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:17:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:18:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:19:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:20:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:21:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:22:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:23:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:24:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:25:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:26:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:27:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:28:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:29:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:30:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:31:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:32:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:33:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:34:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:35:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:36:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:37:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:38:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:39:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:40:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:41:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:42:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:43:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:44:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:45:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:46:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:47:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:48:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:49:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:50:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:51:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:52:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:53:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:54:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:55:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:56:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:57:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:58:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:59:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T19:00:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T19:01:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T19:02:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T19:03:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T19:04:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T19:05:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T19:06:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T19:07:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T19:08:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T19:09:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T19:10:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T19:11:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T19:12:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T19:13:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T19:14:36+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
