[INFO] terminal64.exe = C:\Users\Leon\Desktop\MetaTrader 5 - Kopie - Kopie - Kopie (19) - Kopie - Kopie - Kopie - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_530164208_LIVE
[OK] Connected: 530164208 | FTMO Challenge USD | FTMO-Server3 | LIVE
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_530164208_LIVE | account_type=LIVE | server=FTMO-Server3
[OK] DB rows: 526
[LOOP] 2026-03-21T09:27:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:28:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:29:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:30:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:31:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:32:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:33:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:34:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:35:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:36:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:37:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:38:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:39:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:40:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:41:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:42:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:43:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:44:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:45:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:46:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:47:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:48:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:49:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:50:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:51:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:52:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:53:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:54:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:55:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:56:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:57:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:58:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T09:59:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T10:00:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T10:01:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T10:02:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T10:03:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T10:04:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T10:05:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
